09:36:00 INFO:Start training with [gpu(0)]
09:47:56 INFO:Epoch[9] Batch [1900]	Speed: 52.27 samples/sec	Train-Perplexity=4.224839
09:48:04 INFO:Epoch[9] Batch [1920]	Speed: 52.14 samples/sec	Train-Perplexity=4.094979
09:48:11 INFO:Epoch[9] Batch [1940]	Speed: 52.70 samples/sec	Train-Perplexity=4.571857
09:48:19 INFO:Epoch[9] Batch [1960]	Speed: 52.60 samples/sec	Train-Perplexity=4.547599
09:48:26 INFO:Epoch[9] Batch [1980]	Speed: 54.82 samples/sec	Train-Perplexity=4.456183
09:48:33 INFO:Epoch[9] Batch [2000]	Speed: 55.69 samples/sec	Train-Perplexity=4.305712
09:48:41 INFO:Epoch[9] Batch [2020]	Speed: 49.51 samples/sec	Train-Perplexity=4.609198
09:48:49 INFO:Epoch[9] Batch [2040]	Speed: 53.29 samples/sec	Train-Perplexity=4.141626
09:48:56 INFO:Epoch[9] Batch [2060]	Speed: 56.99 samples/sec	Train-Perplexity=4.434758
09:49:03 INFO:Epoch[9] Batch [2080]	Speed: 52.48 samples/sec	Train-Perplexity=4.836259
09:49:11 INFO:Epoch[9] Batch [2100]	Speed: 54.68 samples/sec	Train-Perplexity=4.511800
09:49:18 INFO:Epoch[9] Batch [2120]	Speed: 52.83 samples/sec	Train-Perplexity=4.217149
09:49:26 INFO:Epoch[9] Batch [2140]	Speed: 54.09 samples/sec	Train-Perplexity=4.173412
09:49:34 INFO:Epoch[9] Batch [2160]	Speed: 49.05 samples/sec	Train-Perplexity=4.258602
09:49:41 INFO:Epoch[9] Batch [2180]	Speed: 53.71 samples/sec	Train-Perplexity=4.308234
09:49:49 INFO:Epoch[9] Batch [2200]	Speed: 50.45 samples/sec	Train-Perplexity=4.604901
09:49:56 INFO:Epoch[9] Batch [2220]	Speed: 56.17 samples/sec	Train-Perplexity=4.305161
09:50:04 INFO:Epoch[9] Batch [2240]	Speed: 53.54 samples/sec	Train-Perplexity=4.523575
09:50:11 INFO:Epoch[9] Batch [2260]	Speed: 53.98 samples/sec	Train-Perplexity=4.428610
09:50:19 INFO:Epoch[9] Batch [2280]	Speed: 52.09 samples/sec	Train-Perplexity=4.866336
09:50:26 INFO:Epoch[9] Batch [2300]	Speed: 53.71 samples/sec	Train-Perplexity=4.081635
09:50:34 INFO:Epoch[9] Batch [2320]	Speed: 55.99 samples/sec	Train-Perplexity=4.223626
09:50:42 INFO:Epoch[9] Batch [2340]	Speed: 46.96 samples/sec	Train-Perplexity=4.297579
09:50:50 INFO:Epoch[9] Batch [2360]	Speed: 51.33 samples/sec	Train-Perplexity=4.036154
09:50:57 INFO:Epoch[9] Batch [2380]	Speed: 53.97 samples/sec	Train-Perplexity=4.242456
09:51:05 INFO:Epoch[9] Batch [2400]	Speed: 54.47 samples/sec	Train-Perplexity=4.183459
09:51:13 INFO:Epoch[9] Batch [2420]	Speed: 50.46 samples/sec	Train-Perplexity=4.542946
09:51:20 INFO:Epoch[9] Batch [2440]	Speed: 53.47 samples/sec	Train-Perplexity=4.427815
09:51:28 INFO:Epoch[9] Batch [2460]	Speed: 53.40 samples/sec	Train-Perplexity=4.257033
09:51:35 INFO:Epoch[9] Batch [2480]	Speed: 53.83 samples/sec	Train-Perplexity=4.209234
09:51:42 INFO:Epoch[9] Batch [2500]	Speed: 55.85 samples/sec	Train-Perplexity=4.365279
09:51:49 INFO:Epoch[9] Batch [2520]	Speed: 55.21 samples/sec	Train-Perplexity=4.288118
09:51:56 INFO:Epoch[9] Batch [2540]	Speed: 58.21 samples/sec	Train-Perplexity=4.330012
09:52:04 INFO:Epoch[9] Batch [2560]	Speed: 51.37 samples/sec	Train-Perplexity=4.424395
09:52:12 INFO:Epoch[9] Batch [2580]	Speed: 51.89 samples/sec	Train-Perplexity=4.458645
09:52:19 INFO:Epoch[9] Batch [2600]	Speed: 53.24 samples/sec	Train-Perplexity=4.737660
09:52:26 INFO:Epoch[9] Batch [2620]	Speed: 58.99 samples/sec	Train-Perplexity=4.819100
09:52:34 INFO:Epoch[9] Batch [2640]	Speed: 49.41 samples/sec	Train-Perplexity=4.468611
09:52:41 INFO:Epoch[9] Batch [2660]	Speed: 56.94 samples/sec	Train-Perplexity=4.451323
